eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,control
6.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,control
7.0,1.0,15.0,1.0,1.0,0,1.0° to 30°,control
8.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,control
9.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,control
10.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,control
11.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,control
12.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,control
13.0,11.0,15.0,0.8,0.9894,0,11.0° to 30°,control
14.0,11.0,15.0,0.8,0.9894,0,11.0° to 30°,control
15.0,5.0,15.0,0.9333333333333333,0.9997,0,5.0° to 30°,control
16.0,11.0,15.0,0.9333333333333333,0.9997,0,11.0° to 30°,control
17.0,8.0,15.0,0.8666666666666667,0.9979,0,8.0° to 30°,control
18.0,4.0,15.0,0.9333333333333333,0.9997,0,4.0° to 30°,control
19.0,9.5,15.0,0.9333333333333333,0.9997,0,9.5° to 30°,control
20.0,9.5,15.0,0.8666666666666667,0.9979,0,9.5° to 30°,control
21.0,9.5,14.0,0.8571428571428571,0.9963,0,9.5° to 30°,control
22.0,9.5,14.0,0.8571428571428571,0.9963,0,9.5° to 30°,control
23.0,12.5,14.0,0.9285714285714286,0.9995,0,12.5° to 30°,control
24.0,9.5,14.0,0.9285714285714286,0.9995,0,9.5° to 30°,control
25.0,11.0,14.0,0.8571428571428571,0.9963,0,11.0° to 30°,control
26.0,21.0,14.0,0.7857142857142857,0.9824,0,21.0° to 30°,control
27.0,17.0,14.0,0.7142857142857143,0.9408,0,17.0° to 30°,control
28.0,19.5,14.0,0.7142857142857143,0.9408,0,19.5° to 30°,control
29.0,21.0,14.0,0.7142857142857143,0.9408,0,21.0° to 30°,control
30.0,20.5,14.0,0.7142857142857143,0.9408,0,20.5° to 30°,control
5.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,quadbright
6.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,quadbright
7.0,1.0,14.0,1.0,1.0,0,1.0° to 30°,quadbright
8.0,9.5,14.0,0.8571428571428571,0.9963,0,9.5° to 30°,quadbright
9.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,quadbright
10.0,6.5,14.0,0.9285714285714286,0.9995,0,6.5° to 30°,quadbright
11.0,8.0,14.0,0.8571428571428571,0.9963,0,8.0° to 30°,quadbright
12.0,8.0,14.0,0.9285714285714286,0.9995,0,8.0° to 30°,quadbright
13.0,9.5,14.0,0.8571428571428571,0.9963,0,9.5° to 30°,quadbright
14.0,12.5,14.0,0.9285714285714286,0.9995,0,12.5° to 30°,quadbright
15.0,9.5,14.0,0.9285714285714286,0.9995,0,9.5° to 30°,quadbright
16.0,9.5,13.0,0.9230769230769231,0.9991,0,9.5° to 30°,quadbright
17.0,9.5,13.0,0.9230769230769231,0.9991,0,9.5° to 30°,quadbright
18.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,quadbright
19.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,quadbright
20.0,8.0,13.0,0.9230769230769231,0.9991,0,8.0° to 30°,quadbright
21.0,12.5,13.0,0.8461538461538461,0.9935,0,12.5° to 30°,quadbright
22.0,12.5,13.0,0.9230769230769231,0.9991,0,12.5° to 30°,quadbright
23.0,15.5,13.0,0.7692307692307693,0.9713,0,15.5° to 30°,quadbright
24.0,17.0,13.0,0.6923076923076923,0.9102,0,17.0° to 30°,quadbright
25.0,18.5,13.0,0.6923076923076923,0.9102,0,18.5° to 30°,quadbright
26.0,14.0,13.0,0.7692307692307693,0.9713,0,14.0° to 30°,quadbright
27.0,15.5,13.0,0.7692307692307693,0.9713,0,15.5° to 30°,quadbright
28.0,12.5,13.0,0.7692307692307693,0.9713,0,12.5° to 30°,quadbright
29.0,24.0,10.0,0.6,0.7256,1,,quadbright
30.0,27.5,10.0,0.6,0.7256,1,,quadbright
