eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,8.0,8.0,1.0,,0,8.0° to 30°,control
6.0,8.0,8.0,1.0,,0,8.0° to 30°,control
7.0,8.0,8.0,1.0,,0,8.0° to 30°,control
8.0,8.0,8.0,1.0,,0,8.0° to 30°,control
9.0,8.0,8.0,1.0,,0,8.0° to 30°,control
10.0,8.0,8.0,1.0,,0,8.0° to 30°,control
11.0,8.0,8.0,1.0,,0,8.0° to 30°,control
12.0,8.0,8.0,1.0,,0,8.0° to 30°,control
13.0,8.0,8.0,1.0,,0,8.0° to 30°,control
14.0,15.5,8.0,0.875,,0,15.5° to 30°,control
15.0,8.0,8.0,1.0,,0,8.0° to 30°,control
16.0,11.0,7.0,1.0,,0,11.0° to 30°,control
17.0,11.0,7.0,1.0,,0,11.0° to 30°,control
18.0,11.0,7.0,1.0,,0,11.0° to 30°,control
19.0,11.0,7.0,1.0,,0,11.0° to 30°,control
20.0,11.0,7.0,1.0,,0,11.0° to 30°,control
21.0,14.0,7.0,0.8571428571428571,,0,14.0° to 30°,control
22.0,11.0,7.0,1.0,,0,11.0° to 30°,control
23.0,11.0,7.0,1.0,,0,11.0° to 30°,control
24.0,11.0,7.0,1.0,,0,11.0° to 30°,control
25.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,control
26.0,14.0,7.0,0.8571428571428571,,0,14.0° to 30°,control
27.0,15.5,7.0,0.8571428571428571,,0,15.5° to 30°,control
28.0,15.5,7.0,0.8571428571428571,,0,15.5° to 30°,control
29.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,control
30.0,15.5,7.0,0.8571428571428571,,0,15.5° to 30°,control
5.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
6.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
7.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
8.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
9.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
10.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
11.0,15.5,8.0,0.875,,0,15.5° to 30°,quadbright
12.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
13.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
14.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
15.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
16.0,17.0,8.0,0.75,,0,17.0° to 30°,quadbright
17.0,8.0,8.0,1.0,,0,8.0° to 30°,quadbright
18.0,18.5,8.0,0.75,,0,18.5° to 30°,quadbright
19.0,14.0,8.0,0.875,,0,14.0° to 30°,quadbright
20.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,quadbright
21.0,11.0,7.0,1.0,,0,11.0° to 30°,quadbright
22.0,11.0,7.0,1.0,,0,11.0° to 30°,quadbright
23.0,14.0,7.0,0.8571428571428571,,0,14.0° to 30°,quadbright
24.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,quadbright
25.0,11.0,7.0,1.0,,0,11.0° to 30°,quadbright
26.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,quadbright
27.0,11.0,7.0,1.0,,0,11.0° to 30°,quadbright
28.0,18.5,7.0,0.8571428571428571,,0,18.5° to 30°,quadbright
29.0,14.0,7.0,0.8571428571428571,,0,14.0° to 30°,quadbright
30.0,17.0,7.0,0.8571428571428571,,0,17.0° to 30°,quadbright
